Code de la commune ou de l’arrondissement;Nom de la commune ou de l’arrondissement;Préfixe (cadastre);Section (cadastre);Numéro de plan (cadastre);Numéro de voirie (parcelle);Indice de répétition (parcelle);Code MAJIC de la voie (parcelle);Code Rivoli de la voie (parcelle);Nature de la voie (parcelle);Nom de la voie (parcelle);Contenance (parcelle);Subdivision fiscale (parcelle);Code de la nature de culture (SUF);Contenance (SUF);Numéro MAJIC du propriétaire;Numéro SIREN du propriétaire;Code du groupe de la personne morale (propriétaire);Code de la forme juridique (propriétaire);Dénomination (propriétaire);Adresse;Point géographique;Signification du code du droit (propriétaire du local ou de la parcelle);Groupe de la personne morale (propriétaire);label_forme_juridique_proprietaire;Nature de culture;MORALE
21515;QUETIGNY;;AI;0400;;;00161;0089;RUE;DES ARTISANS;380;;S;380;PBB9PD;449305911;0;6540;QUET IMMO;RUE DES ARTISANS;47.306126, 5.102465;Propriétaire;Personnes morales non remarquables;Société civile immobilière;Sols;21515AI0400
16286;ROUILLAC;;K;0361;;;00027;B027;;BOIS GOUIN;756;E;BT;168;PBBD52;U25829596;0;9900;PROPRIETAIRES DU BND 286 K0361;BOIS GOUIN;48.678285, 0.628252;Propriétaire;Personnes morales non remarquables;Autre personne morale de droit privé;Taillis simples;162860K0361
21555;SAINT JULIEN;;AC;0242;0011;;00142;0542;RUE;DU PRE AUDON;455;;S;455;PBBS2C;402042493;0;6540;IVENA;0011  RUE DU PRE AUDON;47.40058, 5.146693;Propriétaire;Personnes morales non remarquables;Société civile immobilière;Sols;21555AC0242
21187;COMMARIN;;A;0119;;;00037;B037;;MONTAGNE DES BORDES;14020;;T;14020;PBC4ZT;393972997;0;6534;DE SOLLE COMMARIN;MONTAGNE DES BORDES;43.125093, 1.346251;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Terre;211870A0119
16316;SAINT-FORT-SUR-LE-NE;;B;0568;;;00028;B028;;LE GRAND FIEF;2610;;VI;2610;PBB35J;503806879;0;5710;SAS DOMAINE PIRON;LE GRAND FIEF;45.579687, -0.304047;Propriétaire;Personnes morales non remarquables;SAS, société par actions simplifiée;Vignes;163160B0568
21003;AHUY;;C;0028;;;00063;B063;;ES MARAUDEES;1201;;L;1201;PBB9H5;212100036;4;7210;COMMUNE D AHUY;ES MARAUDEES;47.36183, 5.031053;Propriétaire;Commune;Commune et commune nouvelle;Landes;210030C0028
21599;SELONGEY;;F;1617;;;00119;B118;;LE COTEAU DE LA FIN;1350;;L;1350;PBB2NV;U21892365;0;9900;GROUPEMENT D INTERET ECONOMIQUE LA VENELLE;LE COTEAU DE LA FIN;47.581369, 5.172873;Gérant, mandataire, gestionnaire;Personnes morales non remarquables;Autre personne morale de droit privé;Landes;215990F1617
16123;ECHALLAT;;A;0418;;;00018;B018;;CHEMIN DE ROUILLAC;9210;;T;9210;PBCQMW;534365788;0;6534;GROUPEMENT FONCIER AGRICOLE DE CLE;CHEMIN DE ROUILLAC;45.742673, -0.044827;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Terre;161230A0418
21660;VEILLY;;A;0317;;;00050;B050;;LE PARTERRE;17958;K;BT;2533;PBCKVS;U21858296;0;9900;PROPRIETAIRES DU BND 660 A0317;LE PARTERRE;48.529492, 2.019858;Propriétaire;Personnes morales non remarquables;Autre personne morale de droit privé;Taillis simples;216600A0317
21510;PRUSLY-SUR-OURCE;;ZZ;0003;;;00048;B048;;EN QUATRE PIERRES;3717;;AB;3717;PBBXGH;212105100;4;7210;COMMUNE DE PRUSLY-SUR-OURCE;EN QUATRE PIERRES;47.872849, 4.654131;Propriétaire;Commune;Commune et commune nouvelle;Terrains à bâtir;21510ZZ0003
